tick,time,Steer,Brake,Throttle,Distance_Bicycle,Distance_Motorbike,Distance_SmallCar,Location_X,Location_Y,Location_Z,Rotation_Pitch,Rotation_Yaw,Rotation_Roll,Speed_kmh,Heading,GNSS_Latitude,GNSS_Longitude,Height,Reverse,Hand_Brake,Manual,Gear,Collision_History,Nearby_Vehicles_Count,Nearby_Vehicles_Details
569,21:46:12:820,-0.0027191168628633022,0.0,0.0,141.16741081989284,63.06146844559043,277.3663289629462,-130.13067626953125,33.65270233154297,8.319467544555664,2.6128134727478027,-0.446533203125,0.049653779715299606,80.85458413026159,N,,,,False,False,False,5,,,
570,21:46:12:840,-0.0027191168628633022,0.0,0.0,141.16741081989284,63.06146844559043,277.3663289629462,-130.13067626953125,33.65270233154297,8.319467544555664,2.6128134727478027,-0.446533203125,0.049653779715299606,80.85458413026159,N,,,,False,False,False,5,,,
571,21:46:12:861,-0.0027191168628633022,0.0,0.0,141.16741081989284,63.06146844559043,277.3663289629462,-130.13067626953125,33.65270233154297,8.319467544555664,2.6128134727478027,-0.446533203125,0.049653779715299606,80.85458413026159,N,,,,False,False,False,5,,,
572,21:46:12:892,-0.0027191168628633022,0.0,0.0,142.9792241890638,61.253147209442254,275.55594881811334,-128.32017517089844,33.64563751220703,8.397971153259277,2.5603644847869873,-0.5391234755516052,0.04541969671845436,81.16140043611901,NW,,,,False,False,False,5,,,
573,21:46:12:915,-0.0027191168628633022,0.0,0.0,143.3874925920658,60.84572893110081,275.1480139729604,-127.91220092773438,33.64361572265625,8.415356636047363,2.557823657989502,-0.5600891709327698,0.044567883014678955,81.1796665457911,NW,,,,False,False,False,5,,,
574,21:46:12:967,-0.0027191168628633022,0.0,0.0,144.17602451707972,60.0589097039705,274.360145317602,-127.1242446899414,33.6392822265625,8.448891639709473,2.554265260696411,-0.6006468534469604,0.04151531308889389,81.1589683044069,NW,,,,False,False,False,5,,,
575,21:46:13:005,-0.0027191168628633022,0.0,0.0,144.7280224397375,59.508151801397325,273.80862747518216,-126.57266235351562,33.63618469238281,8.472585678100586,2.563642978668213,-0.6294249892234802,0.0017374171875417233,81.10284211100154,NW,,,,False,False,False,5,,,
576,21:46:13:105,-0.0027191168628633022,0.0,0.0,147.7782941902544,56.46596132131096,270.76161912841593,-123.52515411376953,33.61254119873047,8.609557151794434,2.743440866470337,-0.7990111708641052,-0.137786865234375,80.35233163329038,NW,,,,False,False,False,5,,,
577,21:46:13:224,0.0022155765909701586,0.0,0.0,150.35005104238684,53.90256622706248,268.1930888059958,-120.95598602294922,33.5843505859375,8.72614574432373,2.371448278427124,-0.9066771268844604,-0.02517700009047985,79.37096228008487,NW,,,,False,False,False,5,,,
578,21:46:13:302,0.002316284691914916,0.0,0.9932669997215271,152.01345153030346,52.245003721941195,266.531588786633,-119.29399108886719,33.56446075439453,8.795136451721191,2.162663221359253,-0.9302978515625,0.01890668272972107,78.63841077314486,NW,,,,False,False,False,5,,,
579,21:46:13:330,0.002316284691914916,0.0,0.9932669997215271,152.45506239171633,51.80498676338047,266.09043802835345,-118.85269927978516,33.55904769897461,8.81227970123291,2.116825819015503,-0.9314882159233093,0.02053164504468441,78.44223188349659,NW,,,,False,False,False,5,,,
580,21:46:13:351,0.002316284691914916,0.0,0.9932669997215271,152.45506239171633,51.80498676338047,266.09043802835345,-118.85269927978516,33.55904769897461,8.81227970123291,2.116825819015503,-0.9314882159233093,0.02053164504468441,78.44223188349659,NW,,,,False,False,False,5,,,
581,21:46:13:395,0.002920533064752817,0.0,0.9932669997215271,153.87391739169064,50.39144049124663,264.6730075187994,-117.4347915649414,33.54121780395508,8.865303993225098,1.9666708707809448,-0.9199829697608948,0.014820955693721771,77.8453208413444,NW,,,,False,False,False,5,,,
582,21:46:13:422,0.003222657600417733,0.0,0.9932669997215271,154.5760438492575,49.692041865801436,263.9715496065651,-116.73308563232422,33.532222747802734,8.890471458435059,1.9079517126083374,-0.9063719511032104,0.002483922056853771,77.59130461206522,NW,,,,False,False,False,5,,,
