tick,time,steerCmd,brakeCmd,throttleCmd,distance1,distance2
1788,22:25:05:518,0.0,0.0,1.0,91.97500181208548,44.83213110269188
1789,22:25:05:535,0.0,0.0,1.0,91.97500181208548,44.83213110269188
1790,22:25:05:683,0.0,0.0,1.0,89.98886324144921,43.41699955096145
1791,22:25:05:687,0.0,0.0,1.0,88.00412954318932,41.97300715424115
1792,22:25:05:705,0.0,0.0,1.0,88.00412954318932,41.97300715424115
1793,22:25:05:719,0.0,0.0,1.0,87.48027960474442,41.58727378752822
1794,22:25:05:737,0.0,0.0,1.0,87.48027960474442,41.58727378752822
1795,22:25:05:822,0.0,0.0,1.0,85.9723861139644,40.46735146075368
1796,22:25:05:827,0.0,0.0,1.0,84.9645155196452,39.71341953379094
1797,22:25:05:845,0.0,0.0,1.0,84.9645155196452,39.71341953379094
1798,22:25:05:860,0.0,0.0,1.0,84.9645155196452,39.71341953379094
1799,22:25:05:876,0.0,0.0,1.0,84.9645155196452,39.71341953379094
1800,22:25:05:892,0.0,0.0,1.0,84.9645155196452,39.71341953379094
1801,22:25:05:907,0.0,0.0,1.0,84.9645155196452,39.71341953379094
1802,22:25:05:921,0.0,0.0,1.0,84.9645155196452,39.71341953379094
1803,22:25:05:938,0.0,0.0,1.0,84.9645155196452,39.71341953379094
1804,22:25:05:954,0.0,0.0,1.0,84.9645155196452,39.71341953379094
1805,22:25:06:009,0.0,0.0,1.0,81.37241978663846,37.02544325087394
1806,22:25:06:014,0.0,0.0,1.0,80.82827711815133,36.62084920472536
1807,22:25:06:033,0.0,0.0,1.0,80.82827711815133,36.62084920472536
1808,22:25:06:046,0.0,0.0,1.0,80.82827711815133,36.62084920472536
1809,22:25:06:063,0.0,0.0,0.0,79.84698976346095,35.89256191482223
1810,22:25:06:080,0.0,0.0,0.0,79.84698976346095,35.89256191482223
1811,22:25:06:096,0.0,0.0,0.0,79.84698976346095,35.89256191482223
1812,22:25:06:237,0.0,0.0,0.0,77.78032699075827,34.36996624299624
1813,22:25:06:242,0.0,0.0,0.0,75.72663897831295,32.875153738256564
1814,22:25:06:257,0.0,0.0,0.0,75.72663897831295,32.875153738256564
1815,22:25:06:274,0.0,0.0,0.0,75.10951978446842,32.430539216714905
1816,22:25:06:288,0.0,0.0,0.0,75.10951978446842,32.430539216714905
1817,22:25:06:374,0.0,0.0,0.0,73.66081045172584,31.394902239062418
1818,22:25:06:380,0.0,0.0,0.0,72.63721705199548,30.67072410279699
